track|artist|album|year
All God's Children|Sonny Stitt, Bud Powell|Sonny Stitt And Bud Powell Quartet|1951
Sunset|Sonny Stitt, Bud Powell|Sonny Stitt And Bud Powell Quartet|1951
Bud's Blues|Sonny Stitt, Bud Powell|Sonny Stitt And Bud Powell Quartet|1951
Fine And Dandy|Sonny Stitt, Bud Powell|Sonny Stitt And Bud Powell Quartet|1951
I Want To Be Happy|Sonny Stitt, Bud Powell|Sonny Stitt And Bud Powell Quartet|1951
Strike Up The Band|Sonny Stitt, Bud Powell|Sonny Stitt And Bud Powell Quartet|1951
Taking A Chance On Love|Sonny Stitt, Bud Powell|Sonny Stitt And Bud Powell Quartet|1951
Sonny Side|Sonny Stitt, Bud Powell|Sonny Stitt And Bud Powell Quartet|1951
Blues Up And Down|Gene Ammons vs. Sonny Stitt|Battle Of The Saxes|1951
You Can Depend On Me|Gene Ammons vs. Sonny Stitt|Battle Of The Saxes|1951
Chabootie|Gene Ammons vs. Sonny Stitt|Battle Of The Saxes|1951
Seven - Eleven|Gene Ammons vs. Sonny Stitt|Battle Of The Saxes|1951
Stringin' The Jug - Part One|Gene Ammons vs. Sonny Stitt|Battle Of The Saxes|1951
Stringin' The Jug - Part Two|Gene Ammons vs. Sonny Stitt|Battle Of The Saxes|1951
I Want To Be Loved|Gene Ammons vs. Sonny Stitt|Battle Of The Saxes|1951
Count Every Star|Gene Ammons vs. Sonny Stitt|Battle Of The Saxes|1951
Green Junction|Bennie Green, J.J. Johnson With Sonny Stitt|Modern Jazz Trombones Volume Two|1951
Flowing River|Bennie Green, J.J. Johnson With Sonny Stitt|Modern Jazz Trombones Volume Two|1951
Whirl-A-Licks|Bennie Green, J.J. Johnson With Sonny Stitt|Modern Jazz Trombones Volume Two|1951
Bennie's Pennies|Bennie Green, J.J. Johnson With Sonny Stitt|Modern Jazz Trombones Volume Two|1951
Afternoon In Paris|Bennie Green, J.J. Johnson With Sonny Stitt|Modern Jazz Trombones Volume Two|1951
Elora|Bennie Green, J.J. Johnson With Sonny Stitt|Modern Jazz Trombones Volume Two|1951
Blue Mode|Bennie Green, J.J. Johnson With Sonny Stitt|Modern Jazz Trombones Volume Two|1951
Tea Pot|Bennie Green, J.J. Johnson With Sonny Stitt|Modern Jazz Trombones Volume Two|1951
Serenade To A Square|Sonny Stitt|New Sounds In Modern Music, Volume 1|1951
Good Kick|Sonny Stitt|New Sounds In Modern Music, Volume 1|1951
Seven Up|Sonny Stitt|New Sounds In Modern Music, Volume 1|1951
Everything's Cool, Pt. 1|Sonny Stitt|New Sounds In Modern Music, Volume 1|1951
Everything's Cool, Pt. 2|Sonny Stitt|New Sounds In Modern Music, Volume 1|1951
Liza|Sonny Stitt|Mr. Saxophone|1951
Can't We Be Friends|Sonny Stitt|Mr. Saxophone|1951
Cherokee|Sonny Stitt|Mr. Saxophone|1951
Imagination|Sonny Stitt|Mr. Saxophone|1951
This Can't Be Love|Sonny Stitt|Mr. Saxophone|1951
P. S. I Love You|Sonny Stitt|Mr. Saxophone|1951
Nevertheless|Sonny Stitt|Mr. Saxophone|1951
Mean To Me|Sonny Stitt|Mr. Saxophone|1951
Web City Part 1 And Part 2|Sonny Stitt|New Trends Of Jazz Volume 1|1952
Be Bop In Pastel|Sonny Stitt|New Trends Of Jazz Volume 1|1952
Fools Fancy|Sonny Stitt|New Trends Of Jazz Volume 1|1952
Bombay|Sonny Stitt|New Trends Of Jazz Volume 1|1952
Ray's Idea|Sonny Stitt|New Trends Of Jazz Volume 1|1952
Nice Work If You Can Get it|Sonny Stitt|Favorites Volume One|1952
Our Very Own|Sonny Stitt|Favorites Volume One|1952
There'll Never Be Anther You|Sonny Stitt|Favorites Volume One|1952
Later|Sonny Stitt|Favorites Volume One|1952
Ain't Misbehavin'|Sonny Stitt|Favorites Volume One|1952
After You've Gone|Sonny Stitt|Favorites Volume One|1952
Stairway to the Stars|Sonny Stitt|Favorites Volume One|1952
Blazin'|Sonny Stitt|Favorites Volume One|1952
Donde|Joe Holiday / Sonny Stitt / Kenny Graham (2) / Sonny Rollins|Mambo Jazz|1952
Joe Black Mambo|Joe Holiday / Sonny Stitt / Kenny Graham (2) / Sonny Rollins|Mambo Jazz|1952
Serenata|Joe Holiday / Sonny Stitt / Kenny Graham (2) / Sonny Rollins|Mambo Jazz|1952
Cuban Nightingale|Joe Holiday / Sonny Stitt / Kenny Graham (2) / Sonny Rollins|Mambo Jazz|1952
Cool Mambo|Joe Holiday / Sonny Stitt / Kenny Graham (2) / Sonny Rollins|Mambo Jazz|1952
Blue Mambo|Joe Holiday / Sonny Stitt / Kenny Graham (2) / Sonny Rollins|Mambo Jazz|1952
Piña Colada|Joe Holiday / Sonny Stitt / Kenny Graham (2) / Sonny Rollins|Mambo Jazz|1952
Mambo Bounce|Joe Holiday / Sonny Stitt / Kenny Graham (2) / Sonny Rollins|Mambo Jazz|1952
Sancho Panza|Sonny Stitt|Playing Arrangements From The Pen Of Johnny Richards|1953
Sweet And Lovely|Sonny Stitt|Playing Arrangements From The Pen Of Johnny Richards|1953
If I Could Be With You (One Hour Tonight)|Sonny Stitt|Playing Arrangements From The Pen Of Johnny Richards|1953
Hooke's Tours|Sonny Stitt|Playing Arrangements From The Pen Of Johnny Richards|1953
Loose Walk|Sonny Stitt|Playing Arrangements From The Pen Of Johnny Richards|1953
Pink Satin|Sonny Stitt|Playing Arrangements From The Pen Of Johnny Richards|1953
Shine On Harvest Moon|Sonny Stitt|Playing Arrangements From The Pen Of Johnny Richards|1953
Opus 202|Sonny Stitt|Playing Arrangements From The Pen Of Johnny Richards|1953
Blue And Sentimental|Sonny Stitt|Jazz At The Hi-Hat|1954
Thou Swell|Sonny Stitt|Jazz At The Hi-Hat|1954
Every Tub|Sonny Stitt|Jazz At The Hi-Hat|1954
Pennies From Heaven|Sonny Stitt|Jazz At The Hi-Hat|1954
Marchin'|Sonny Stitt - Eddie Davis*|The Battle Of Birdland|1955
S.O.S.|Sonny Stitt - Eddie Davis*|The Battle Of Birdland|1955
Jaws|Sonny Stitt - Eddie Davis*|The Battle Of Birdland|1955
I Can't Get Started|Sonny Stitt - Eddie Davis*|The Battle Of Birdland|1955
There'll Never Be Another You|Sonny Stitt|Sonny Stitt Sonny Stitt Sonny Stitt Sonny Stitt|1956
The Nearness Of You|Sonny Stitt|Sonny Stitt Sonny Stitt Sonny Stitt Sonny Stitt|1956
Biscuit Mix|Sonny Stitt|Sonny Stitt Sonny Stitt Sonny Stitt Sonny Stitt|1956
Yesterdays|Sonny Stitt|Sonny Stitt Sonny Stitt Sonny Stitt Sonny Stitt|1956
Afterwards|Sonny Stitt|Sonny Stitt Sonny Stitt Sonny Stitt Sonny Stitt|1956
If I Should Lose You|Sonny Stitt|Sonny Stitt Sonny Stitt Sonny Stitt Sonny Stitt|1956
Blues For Bobby|Sonny Stitt|Sonny Stitt Sonny Stitt Sonny Stitt Sonny Stitt|1956
My Melancholy Baby|Sonny Stitt|Sonny Stitt Sonny Stitt Sonny Stitt Sonny Stitt|1956
All God's Children Got Rhythm|Sonny Stitt / Bud Powell / J.J. Johnson|Sonny Stitt / Bud Powell / J.J. Johnson|1956
Sonnyside|Sonny Stitt / Bud Powell / J.J. Johnson|Sonny Stitt / Bud Powell / J.J. Johnson|1956
Bud's Blues|Sonny Stitt / Bud Powell / J.J. Johnson|Sonny Stitt / Bud Powell / J.J. Johnson|1956
Sunset|Sonny Stitt / Bud Powell / J.J. Johnson|Sonny Stitt / Bud Powell / J.J. Johnson|1956
Fine And Dandy (Take 1)|Sonny Stitt / Bud Powell / J.J. Johnson|Sonny Stitt / Bud Powell / J.J. Johnson|1956
Fine And Dandy (Take 2)|Sonny Stitt / Bud Powell / J.J. Johnson|Sonny Stitt / Bud Powell / J.J. Johnson|1956
Strike Up The Band|Sonny Stitt / Bud Powell / J.J. Johnson|Sonny Stitt / Bud Powell / J.J. Johnson|1956
I Want To Be Happy|Sonny Stitt / Bud Powell / J.J. Johnson|Sonny Stitt / Bud Powell / J.J. Johnson|1956
Taking A Chance On Love|Sonny Stitt / Bud Powell / J.J. Johnson|Sonny Stitt / Bud Powell / J.J. Johnson|1956
Afternoon In Paris|Sonny Stitt / Bud Powell / J.J. Johnson|Sonny Stitt / Bud Powell / J.J. Johnson|1956
Elora|Sonny Stitt / Bud Powell / J.J. Johnson|Sonny Stitt / Bud Powell / J.J. Johnson|1956
Teapot|Sonny Stitt / Bud Powell / J.J. Johnson|Sonny Stitt / Bud Powell / J.J. Johnson|1956
